typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20160101,2016,52,2016,757,CHE,Switzerland,DX,Domestic Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,False,True
C,A,20160101,2016,52,2016,757,CHE,Switzerland,X,Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,False,True
C,A,20160101,2016,52,2016,757,CHE,Switzerland,DX,Domestic Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,False,True
C,A,20160101,2016,52,2016,757,CHE,Switzerland,X,Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,False,True
C,A,20160101,2016,52,2016,757,CHE,Switzerland,DX,Domestic Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C03,Outright exportation,0,0,TOTAL MOT,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,False,True
C,A,20160101,2016,52,2016,757,CHE,Switzerland,X,Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C03,Outright exportation,0,0,TOTAL MOT,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,False,True
C,A,20160101,2016,52,2016,757,CHE,Switzerland,DX,Domestic Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C03,Outright exportation,0,1000,Air,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,True,False
C,A,20160101,2016,52,2016,757,CHE,Switzerland,X,Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C03,Outright exportation,0,1000,Air,8,kg,0.329,True,-1,N/A,0.0,False,0.329,True,0.0,False,0.0,12481.737,12481.737,6,True,False
C,A,20170101,2017,52,2017,288,GHA,Ghana,X,Export,854,BFA,Burkina Faso,0,W00,World,H4,HS,True,284330,Gold compounds,6,True,C00,TOTAL CPC,0 ,0,TOTAL MOT,8,kg,0.278,True,-1,N/A,0.0,False,,True,,False,,7289.167,7289.167,0,True,False
C,A,20180101,2018,52,2018,36,AUS,Australia,X,Export,854,BFA,Burkina Faso,0,W00,World,H5,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.25,False,15,g,250.0,False,0.25,False,0.25,False,,3399.551,3399.551,0,False,True
