typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,isGrossWgtEstimated,cifvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20150101,2015,52,2015,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.23,False,8,5.23,False,5.23,False,False,178132.595,178132.595,0,True,False
C,A,20160101,2016,52,2016,380,ITA,Italy,FM,Foreign Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,15,8204.0,False,8.0,False,False,337562.249,337562.249,0,True,False
C,A,20160101,2016,52,2016,380,ITA,Italy,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,8.0,False,15,8204.0,False,8.0,False,False,337562.249,337562.249,0,True,False
C,A,20160101,2016,52,2016,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,187.85,False,8,187.85,False,187.85,False,False,5284964.615,5284964.615,0,True,False
C,A,20160101,2016,52,2016,784,ARE,United Arab Emirates,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710813,"Metals; gold, semi-manufactured",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0.42,False,8,0.42,False,0.42,False,False,15771.179,15771.179,0,True,False
C,A,20160101,2016,52,2016,792,TUR,Türkiye,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,12.062,False,15,12062.0,False,12.0,False,False,533482.0,533482.0,0,False,True
C,A,20160101,2016,52,2016,792,TUR,Türkiye,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,1000,Air,8,kg,12.062,False,15,12062.0,False,12.0,False,False,533482.0,533482.0,0,False,True
C,A,20160101,2016,52,2016,792,TUR,Türkiye,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C06,Inward processing,0,0,TOTAL MOT,8,kg,12.062,False,15,12062.0,False,12.0,False,False,533482.0,533482.0,0,False,True
C,A,20160101,2016,52,2016,792,TUR,Türkiye,M,Import,12,DZA,Algeria,0,W00,World,H4,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C06,Inward processing,0,1000,Air,8,kg,12.062,False,15,12062.0,False,12.0,False,False,533482.0,533482.0,0,False,True
C,A,20170101,2017,52,2017,380,ITA,Italy,FM,Foreign Import,12,DZA,Algeria,0,W00,World,H5,HS,True,710812,"Metals; gold, non-monetary, unwrought (but not powder)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,5.503,False,15,5503.0,False,6.0,False,False,258478.921,258478.921,0,True,False
